course_code,prerequisites,group_id
HL4019,HL1001,prereq_group_367
HL4020,HL1001,prereq_group_368
HL4024,HL1001,prereq_group_369
HL4033,HL1001,prereq_group_370
HL4036,HL1001,prereq_group_371
HL4036,HJ5001,prereq_group_372
HL4038,HL1001,prereq_group_373
HG2012,HG1001,prereq_group_374
HG2095,HG2020,prereq_group_375
HG2099,HG1001,prereq_group_376
HW0207,CC0001,prereq_group_377
HG2001,HG2003|HG2034,prereq_group_378
HG2002,HG1001,prereq_group_379
HG3005,HG1001,prereq_group_380
HG3043,HG2034,prereq_group_381
HG4011,HG1001,prereq_group_382
HG4013,HG1001|HG2001|HG2002,prereq_group_383
HG4031,HG2020,prereq_group_384
HG4033,HG2033,prereq_group_385
HG4052,HG2003,prereq_group_386
HG4062,HG1001|HG2020,prereq_group_387
HG4070,HG2003,prereq_group_388
CS2021,CS0204,prereq_group_389
CS2023,CS0204,prereq_group_390
CS2405,CS2400,prereq_group_391
CS4018,CS2021,prereq_group_392
CS4022,CS2405,prereq_group_393
CS4022,CZ4032,prereq_group_394
CS4023,CS2044,prereq_group_395
CS4026,CS2025,prereq_group_396
CS4027,CS2025,prereq_group_397
CS4032,CS2058,prereq_group_398
CS4037,CS2008,prereq_group_399
CS4037,HP1100,prereq_group_400
CS4042,HP1100,prereq_group_401
CS4042,CS2008,prereq_group_402
CS4050,CS2008,prereq_group_403
CS4050,HP1100,prereq_group_404
CS4075,CS2008,prereq_group_405
CS4090,CS2021,prereq_group_406
CS4150,CS2008,prereq_group_407
CS4150,HJ5001,prereq_group_408
CS4317,CS2025,prereq_group_409
CS4319,CS2025,prereq_group_410
CZ1107,CZ1103,prereq_group_411
CZ2100,MH1810,prereq_group_412
CZ3001,CZ1106,prereq_group_413
CZ2002,CZ1103,prereq_group_414
CZ2005,CZ1106|CZ1107,prereq_group_415
CZ2101,CZ1107|MH1812,prereq_group_416
CZ3002,CZ2006,prereq_group_417
CZ3002,CE2006,prereq_group_418
CZ3005,CZ1107|CZ1115,prereq_group_419
CZ3005,CE1107|CE1115,prereq_group_420
CZ3005,CZ1103|CZ2101,prereq_group_421
CZ3006,CZ1104|CZ2100,prereq_group_422
CZ3007,CE2006|CE2101,prereq_group_423
CZ3007,CZ2006|CZ2101,prereq_group_424
CZ4010,CZ2100,prereq_group_425
CZ4010,MH2500,prereq_group_426
CZ4031,BC2402,prereq_group_427
CZ4031,CZ2007|CZ2101,prereq_group_428
CZ4041,CZ1107|CZ2100,prereq_group_429
CZ4041,CZ1107|MH2500,prereq_group_430
CZ4062,CZ2005,prereq_group_431
CZ4064,CZ2006,prereq_group_432
CZ4069,CZ1106|CZ2005,prereq_group_433
CZ4124,CZ1103|MH2500,prereq_group_434
CZ4124,CZ1103|CZ2100,prereq_group_435
CZ4153,CZ1107|CZ2101|MH1812,prereq_group_436
