course_code,prerequisites,group_id
ES4301,AAB20D|ES2301|ES3301,prereq_group_342
HH3001,HH1001,prereq_group_343
HH2001,HH1001,prereq_group_344
HH2004,HH1001,prereq_group_345
HH2008,HH1001,prereq_group_346
HH2046,HH1001,prereq_group_347
HH4006,HH1001,prereq_group_348
HH4010,HH1001,prereq_group_349
HH4016,HH1001,prereq_group_350
HY4008,HY2002,prereq_group_351
HY4011,HY2002,prereq_group_352
HY4027,HY1001,prereq_group_353
HY4131,HY2002,prereq_group_354
MA2002,MA1001,prereq_group_355
DA2002,DA1000,prereq_group_356
DA3000,DA1000,prereq_group_357
MH2200,MH1200,prereq_group_358
MH3101,MH1101|MH2100,prereq_group_359
MH3300,MH1201|MH1301,prereq_group_360
MH4200,MH1201|MH3200,prereq_group_361
MH4701,MH2100|MH3701,prereq_group_362
MH3520,MH2100|MH3500|MH3600|PS0001,prereq_group_363
MH4300,MH1101|MH1201|MH1301,prereq_group_364
MH4311,MH1301|MH2200,prereq_group_365
MH4700,MH3110|MH3700,prereq_group_366
MS2083,MS2013,prereq_group_367
MS4014,MS2018|MS3012|MS3013,prereq_group_368
MS4620,MS2013,prereq_group_369
MS4621,MS1014|MS2013,prereq_group_370
MS4631,MS3013,prereq_group_371
MA3002,MA2001,prereq_group_372
MA3004,MH1810|MH1811,prereq_group_373
MA3005,MA2006,prereq_group_374
MA3010,MA2003,prereq_group_375
MA4001,MA3001,prereq_group_376
MA4811,MA3003,prereq_group_377
MA4858,MA2013|MA2014,prereq_group_378
MA4011,MA3001,prereq_group_379
MA4012,MA3001,prereq_group_380
HY3022,HY2003,prereq_group_381
HS2001,HS1001,prereq_group_382
PH2198,PH1198,prereq_group_383
PH3101,MH2801|PH2101,prereq_group_384
PH3403,PH1107|PH2101|PH2103,prereq_group_385
PH4402,PH3102|PH3201,prereq_group_386
PH4403,PH3102,prereq_group_387
PH4408,PH3101,prereq_group_388
PH3102,PH1105|PH2101|PH2103,prereq_group_389
PH3199,PH2198|PH2199,prereq_group_390
PH3399,PH2198|PH2199,prereq_group_391
HS2008,HS1001,prereq_group_392
HS2009,HS1001,prereq_group_393
HS2011,HS1001,prereq_group_394
HS3001,HS1001|HS2001|HS2002,prereq_group_395
HS4001,HS1001|HS2002,prereq_group_396
HS4002,HS1001|HS3002,prereq_group_397
HS4012,HS1001|HS2001|HS2002|HS3001|HS3002,prereq_group_398
HS4015,HS1001|HS2001|HS2002|HS3001|HS3002,prereq_group_399
HS4022,HS1001|HS2001|HS2002|HS3001|HS3002,prereq_group_400
